"MATCH_ID","SEASON_ID","SEASON_MATCH","PLAY_OFF_ID","DATE_ID","REFEREE_ID","TV_UMPIRE_ID","UMPIRE_ID1","UMPIRE_ID2","TEAM_A_ID","TEAM_B_ID","VENUE_ID","MATCH_TYPE_ID","TOTAL_OVERS","BALLS_PER_OVER","OVERS_PLAYED_BY_TEAM_A","BOWLS_PLAYED_BY_TEAM_A","EXTRA_BOWLS_PLAYED_BY_TEAM_A","EXTRA_RUNS_SCORED_BY_TEAM_A","FOURS_BY_TEAM_A","SIXES_BY_TEAM_A","TOTAL_SCORE_BY_TEAM_A","WICKET_LOST_BY_TEAM_A","OVERS_PLAYED_BY_TEAM_B","BOWLS_PLAYED_BY_TEAM_B","EXTRA_BOWLS_PLAYED_BY_TEAM_B","EXTRA_RUNS_SCORED_BY_TEAM_B","FOURS_BY_TEAM_B","SIXES_BY_TEAM_B","TOTAL_SCORE_BY_TEAM_B","WICKET_LOST_BY_TEAM_B","TOSS_WINNER_TEAM_ID","TOSS_DECISION","MATCH_RESULT","WINNER_TEAM_ID"
466,8,8,3,2552,14,25,17,49,17,19,18,1,20,6,19,126,16,16,15,7,166,10,17,111,16,16,14,7,172,2,19,"Field","Result Declared",19
525,9,8,3,2921,1,35,54,59,19,9,28,1,20,6,19,125,8,8,9,5,142,7,18,115,5,5,16,2,146,2,19,"Bat","Result Declared",9
551,9,34,3,2941,1,61,57,10,19,5,28,1,20,6,18,117,6,6,13,2,129,5,19,125,5,5,8,3,126,6,19,"Field","Result Declared",19
662,11,26,3,3662,19,60,30,10,4,9,1,1,20,6,19,123,4,4,15,16,219,4,19,123,4,4,12,9,164,9,9,"Field","Result Declared",4
666,11,30,3,3665,18,55,37,30,1,4,21,1,20,6,19,124,7,7,14,14,211,4,19,126,8,8,15,11,198,5,4,"Field","Result Declared",1
698,12,2,3,3993,18,25,54,33,19,9,11,1,20,6,19,123,8,8,15,6,181,3,19,121,4,4,15,11,183,4,9,"Field","Result Declared",9
699,12,3,3,3993,14,55,10,47,3,11,39,1,20,6,19,124,6,6,22,11,213,6,19,122,9,9,20,6,176,9,11,"Field","Result Declared",3
767,13,11,3,4548,14,34,68,10,19,3,34,1,20,6,19,123,7,7,11,4,162,4,19,124,11,11,9,5,147,7,3,"Field","Result Declared",19
263,5,15,3,1457,9,22,1,31,9,14,11,1,20,6,19,121,12,12,11,3,137,5,19,125,10,10,13,2,131,5,14,"Bat","Result Declared",9
295,5,49,3,1480,9,15,1,31,11,1,39,1,20,6,19,123,3,3,21,5,174,8,19,125,9,9,13,8,173,8,11,"Field","Result Declared",11
332,6,9,3,1818,13,55,10,11,17,19,18,1,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"Bat","Result Declared",17
423,7,25,3,2209,10,49,16,59,14,9,29,1,20,6,19,124,7,7,12,6,170,6,19,125,10,10,12,5,160,6,9,"Field","Result Declared",14
424,7,26,3,2209,1,54,17,32,4,1,12,1,20,6,19,124,11,11,16,8,178,5,19,120,11,11,16,10,181,2,1,"Field","Result Declared",1
371,6,49,3,1844,8,14,58,59,11,1,39,1,20,6,19,124,4,4,11,6,139,5,15,96,9,9,6,1,79,10,11,"Bat","Result Declared",11
498,8,41,3,2576,1,21,14,30,14,19,5,1,20,6,19,121,7,7,18,10,194,7,19,126,15,15,21,7,201,4,14,"Field","Result Declared",19
618,10,42,3,3304,14,55,57,20,4,5,12,1,20,6,17,110,12,12,8,20,214,3,19,124,5,5,16,11,208,7,4,"Field","Result Declared",4
658,11,22,3,3658,19,34,21,59,7,4,1,1,20,6,19,124,14,14,12,2,143,8,19,127,9,9,12,3,139,8,4,"Field","Result Declared",7
412,7,14,3,2200,7,56,58,30,14,17,34,1,20,6,12,80,3,3,6,2,71,4,14,91,4,4,6,1,70,10,14,"Field","Result Declared",14
474,8,16,3,2558,1,57,49,15,17,11,18,1,20,6,19,134,16,16,20,8,191,7,19,128,17,17,23,10,209,7,17,"Field","Result Declared",11
479,8,21,3,2562,9,34,18,59,4,11,12,1,20,6,19,127,8,8,13,11,190,4,19,128,11,11,13,6,153,9,11,"Field","Result Declared",4
495,8,38,3,2573,11,33,54,57,9,19,11,1,20,6,19,121,7,7,17,3,167,7,19,124,4,4,8,6,132,9,19,"Field","Result Declared",9
511,8,54,3,2585,11,25,17,49,14,9,5,1,20,6,19,125,10,10,19,7,199,6,19,134,26,26,22,4,190,9,14,"Bat","Result Declared",14
514,8,\\N,4,2588,10,25,58,49,1,11,39,1,20,6,18,119,8,8,11,7,162,10,19,129,9,9,11,12,187,6,11,"Bat","Result Declared",11
515,8,\\N,1,2589,8,34,54,30,17,14,21,1,20,6,19,125,12,12,15,8,180,4,18,117,3,3,11,0,109,10,17,"Bat","Result Declared",17
539,9,22,3,2931,17,21,37,59,19,16,28,1,20,6,19,123,8,8,6,3,118,8,10,73,13,13,11,2,94,3,16,"Field","Result Declared",16
555,9,38,3,2943,1,35,57,61,9,5,11,1,20,6,19,123,6,6,14,5,158,4,17,109,5,5,19,7,164,5,5,"Field","Result Declared",5
575,9,\\N,1,2960,8,55,57,30,19,9,12,1,20,6,19,124,6,6,14,7,162,8,19,120,9,9,9,3,140,8,9,"Field","Result Declared",19
576,9,\\N,5,2962,8,54,57,59,5,19,12,1,20,6,19,125,5,5,22,3,162,7,19,117,2,2,15,7,163,6,19,"Field","Result Declared",19
603,10,26,3,3293,15,54,54,57,5,7,30,1,20,6,19,124,7,7,16,2,162,7,19,121,5,5,17,9,188,7,5,"Field","Result Declared",7
605,10,28,3,3294,1,61,21,10,11,15,39,1,20,6,19,123,6,6,16,5,157,8,19,122,4,4,17,3,160,6,11,"Field","Result Declared",15
630,10,54,3,3313,1,62,21,10,9,11,11,1,20,6,19,125,8,8,14,7,164,8,19,125,17,17,19,5,173,5,9,"Field","Result Declared",11
655,11,19,3,3656,19,60,33,59,4,17,18,1,20,6,19,123,12,12,13,10,174,5,17,111,4,4,14,9,176,4,17,"Field","Result Declared",17
